seller_id,orders_6m,active_days_6m,revenue_6m,avg_review_6m,is_risk,risk_stage
0d33a55da925bbf1ff02af5f6059fc7f,13,13,323.7,4.2,False,normal
0d4c8269e7f0401201794deef160edd6,3,3,792.64,4.0,False,normal
0d83f8e03188682112cc0d93523705cc,4,4,696.26,2.75,False,normal
0d85bbda9889ce1f7e63778d24f346eb,37,37,2677.1,4.230769230769231,False,normal
0daf5180aa44356f60f8effa533b55a2,2,2,144.8,5.0,True,low_active
0db783cfcd3b73998abc6e10e59a102f,28,28,2117.8,3.6551724137931036,False,normal
0dd184061fb0eaa7ca37932c68ab91c5,138,138,16136.95,3.937888198757764,False,normal
0ddefe3c7a032b91f4e25b9c3a08fca1,9,9,402.9,4.5,False,normal
0df3984f9dfb3d49ac6366acbd3bbb85,25,25,3178.9,4.76,False,normal
0dfbed20065e425d2eaefb101f9816c0,3,3,84.35,2.6666666666666665,True,low_active
0e44d110fa6a54e121cb2c095a77762f,5,5,189.24,4.2,True,recoverable
0e72c1a751b496722a6cb1f10653b62a,3,3,140.8,4.666666666666667,True,low_active
0e982cff76cc0579f632cea8a0e38c9d,4,4,713.44,3.125,False,normal
0ea22c1cfbdc755f86b9b54b39c16043,51,51,2718.4,4.328125,False,normal
0eaa7e33d73809f1f925f7d07c506cbd,9,9,990.0,4.555555555555555,False,normal
0ebd97a106433a45a4aebe57c1799778,13,13,1408.7,4.0,False,normal
0ec28cec4046a4a199b6de9b4c891d97,3,3,296.6,5.0,False,normal
0ed6ce5d87fd9c69eaacaeb778d67235,16,16,1033.4,4.3125,False,normal
0ee4fb99ac55ffbbc98795aa01b7f8fa,1,1,59.9,5.0,True,almost_churn
0ef83d7d83ed97cd2a0049ac8be5f88a,43,43,4147.88,4.28,False,normal
0f0c984a4a955310903b6b6008660bad,4,4,369.81,3.75,False,normal
0f519b0d2e5eb2227c93dd25038bfc01,1,1,79.9,5.0,True,almost_churn
0f7eea709efdf942b5f95c7516dbacd7,3,3,195.74,4.0,False,normal
0f80a40c312b2472dca482cf50f5186f,1,1,129.9,3.0,True,almost_churn
0f94588695d71662beec8d883ffacf09,1,1,9.0,5.0,True,almost_churn
0fe2d9733ed841eb064503920015a8c0,3,3,389.64,4.666666666666667,False,normal
0ff83046c3fa22efee8ecf291888b191,5,5,349.5,4.8,False,normal
0ffa40d54288e4f3499b8780dd0f144f,33,33,2162.8,4.4,False,normal
10076e5788b8ee532724bcd460baf762,8,8,261.2,4.125,False,normal
10089e9f2fd0c668a8fd4e52e1698888,2,2,780.0,4.0,False,normal
101921376b577a4540dc30e9009133ca,1,1,373.0,2.0,False,normal
101a3a003516bc11253298b2fad3cb65,5,5,450.0,4.833333333333333,False,normal
1025f0e2d44d7041d6cf58b6550e0bfa,241,239,35618.63,3.8578199052132702,False,normal
10264f60a8f0a4d2f30810f5c661c673,4,4,284.6,5.0,False,normal
1099a00e0ee3a50935e6c2447ca090c5,3,3,849.6999999999999,3.6666666666666665,False,normal
10cdd491d1dbea8fb4ead97b19c334ce,3,3,208.9,5.0,False,normal
10ff823eda2b032e2c93d17a7d294736,5,5,786.27,3.0,False,normal
112453736dbe3889cfb74e1aaa0ba0c1,7,7,1890.0,4.071428571428571,False,normal
1127b7f2594683f2510f1c2c834a486b,43,43,2374.34,4.1568627450980395,False,normal
11305281b50fff20ae8bb473f8e11876,5,5,869.6600000000001,4.857142857142857,False,normal
113e3a788b935f48aad63e1c41dac1bd,17,17,371.35,4.238095238095238,False,normal
116ccb1a1604bc88e4d234a8c23f33de,44,44,1411.59,4.611111111111111,False,normal
11742f81550ac064cc9a40f67151d9ad,2,2,781.9,5.0,False,normal
117cfc326c6d50da67ca858ff5c0c852,5,5,454.6,4.6,False,normal
11938fcc75f6902fea1d0a6f72b54a57,2,2,594.98,3.0,False,normal
119c7f1a00ef43fad0e57604e76a747c,2,2,189.8,4.5,True,low_active
119d1aef1b4144adba89163f6cd9f5d4,4,4,1094.0,4.75,False,normal
11bfa66332777660bd0640ee84d47006,51,51,2836.8,3.6857142857142855,False,normal
11d4c477d09821164bca4f70a2eae031,3,3,83.04,5.0,True,low_active
11eac105f3f90a9b87b19c89d91e24f3,5,5,802.89,3.6,False,normal
11fb6f6d341adbe19e81733701704635,3,3,1197.0,5.0,False,normal
120476eb7a04c149d14772edaf5d9bf2,4,4,2368.8,3.8333333333333335,False,normal
1284de4ae8aa26997e748c851557cf0e,3,3,1459.97,2.6666666666666665,False,normal
128639473a139ac0f3e5f5ade55873a5,147,147,3001.5499999999997,4.275167785234899,False,normal
